Name,Date,Type,URL,tag
Footer - BoundlessTech,2025/03/06,Footer,https://www.boundlesstech.net/,"Black, footer"
Testimonials - BoundlessTech,,Testimonial,https://www.boundlesstech.net/,testimonial
Clients - BoundlessTech,2025/03/06,Clients,https://www.boundlesstech.net/,"clients, logos"
AI - Boundless Tech,2025/03/06,AI,https://www.boundlesstech.net/,AI
Portfolio - Boundless Tech,,Portfolio,https://www.boundlesstech.net/,portfolio
Testimonial - Boundless Tech,,Testimonial,https://www.boundlesstech.net/,testimonial
CTA - Boundless Tech,2025/03/06,CTA,https://www.boundlesstech.net/,CTA
Portfolio - Boundless Tech,2025/03/06,Portfolio,https://www.boundlesstech.net/,portfolio
Boundlesstech CTA,2025/03/06,CTA,https://www.boundlesstech.net/,CTA
Liquid Tech,2025/02/25,Page,https://liqteq.com/,"Tech, corporate"
Sigony,2025/02/25,Hero,https://sigony.com/,"colorful, pink"
https://uksoftsolution.com/,2025/03/12,Page,https://uksoftsolution.com/,"template, theme"